id	name	old_id
261	SaintGermaindesPres	264
262	SaintJacques	265
263	SaintLazare	266
264	SaintMande	267
265	SaintMarcel	268
266	SaintMichel	269
267	SaintPaul	270
268	SaintPhilippeduRoule	271
269	SaintPlacide	272
270	SaintSebastienFroissart	273
271	SaintSulpice	274
272	Segur	275
273	Sentier	276
274	SevresBabylone	277
275	SevresLecourbe	278
276	Simplon	279
277	Solferino	280
278	Stalingrad	281
279	StrasbourgSaintDenis	282
280	SullyMorland	283
281	Telegraphe	284
282	Temple	285
283	Ternes	286
284	Tolbiac	287
285	Trinited'Estienned'Orves	288
286	Trocadero	289
287	Tuileries	290
288	Vaneau	291
289	Varenne	292
290	Vaugirard	293
291	Vavin	294
292	VictorHugo	295
293	VillejuifLeoLagrange	296
294	VillejuifLouisAragon	297
295	VillejuifPaulVaillantCouturier	298
296	Villiers	299
297	Volontaires	300
298	Voltaire	301
299	Wagram	302
